! cvtTypeJdegF.data
"typeJdegF" 32 0 1200 4095 1.0 -350 1400 1
!
-8.137	-8.127	-8.117	-8.106	-8.096	-8.085	-8.074	-8.063	-8.052	-8.041
-8.030	-8.019	-8.008	-7.996	-7.985	-7.973	-7.962	-7.950	-7.938	-7.927
-7.915	-7.903	-7.890	-7.878	-7.866	-7.854	-7.841	-7.829	-7.816	-7.803
-7.791	-7.778	-7.765	-7.752	-7.739	-7.726	-7.712	-7.699	-7.686	-7.672
-7.659	-7.645	-7.631	-7.618	-7.604	-7.590	-7.576	-7.562	-7.548	-7.533

-7.519	-7.505	-7.490	-7.476	-7.461	-7.447	-7.432	-7.417	-7.402	-7.387
-7.372	-7.357	-7.342	-7.327	-7.311	-7.296	-7.281	-7.265	-7.250	-7.234
-7.218	-7.202	-7.187	-7.171	-7.155	-7.139	-7.122	-7.106	-7.090	-7.074
-7.057	-7.041	-7.024	-7.008	-6.991	-6.974	-6.958	-6.941	-6.924	-6.907
-6.890	-6.873	-6.856	-6.838	-6.821	-6.804	-6.786	-6.769	-6.751	-6.734

-6.716	-6.698	-6.680	-6.663	-6.645	-6.627	-6.609	-6.591	-6.572	-6.554	
-6.536	-6.518	-6.499	-6.481	-6.462	-6.444	-6.425	-6.407	-6.388	-6.369
-6.350	-6.331	-6.312	-6.293	-6.274	-6.255	-6.236	-6.217	-6.198	-6.178
-6.159	-6.139	-6.120	-6.100	-6.081	-6.061	-6.041	-6.022	-6.002	-5.982
-5.962	-5.942	-5.922	-5.902	-5.882	-5.861	-5.841	-5.821	-5.801	-5.780

-5.760	-5.739	-5.719	-5.698	-5.678	-5.657	-5.636	-5.615	-5.594	-5.574
-5.553	-5.532	-5.511	-5.490	-5.468	-5.447	-5.426	-5.405	-5.383	-5.362
-5.341	-5.319	-5.298	-5.276	-5.255	-5.233	-5.211	-5.190	-5.168	-5.146
-5.124	-5.102	-5.080	-5.058	-5.036	-5.014	-4.992	-4.970	-4.948	-4.925
-4.903	-4.881	-4.858	-4.836	-4.813	-4.791	-4.768	-4.746	-4.723	-4.700

-4.678	-4.655	-4.632	-4.609	-4.586	-4.563	-4.540	-4.517	-4.494	-4.471
-4.448	-4.425	-4.402	-4.379	-4.355	-4.332	-4.309	-4.285	-4.262	-4.238
-4.215	-4.191	-4.168	-4.144	-4.120	-4.097	-4.073	-4.049	-4.025	-4.001
-3.978	-3.954	-3.930	-3.906	-3.882	-3.858	-3.833	-3.809	-3.785	-3.761
-3.737	-3.712	-3.688	-3.664	-3.639	-3.615	-3.590	-3.566	-3.541	-3.517

-3.492	-3.468	-3.443	-3.418	-3.394	-3.369	-3.344	-3.319	-3.294	-3.270
-3.245	-3.220	-3.195	-3.170	-3.145	-3.120	-3.094	-3.069	-3.044	-3.019
-2.994	-2.968	-2.943	-2.918	-2.892	-2.867	-2.842	-2.816	-2.791	-2.765
-2.740	-2.714	-2.689	-2.663	-2.637	-2.612	-2.586	-2.560	-2.534	-2.509
-2.483	-2.457	-2.431	-2.405	-2.379	-2.353	-2.327	-2.301	-2.275	-2.249

-2.223	-2.197	-2.171	-2.144	-2.118	-2.092	-2.066	-2.039	-2.013	-1.987
-1.960	-1.934	-1.908	-1.881	-1.855	-1.828	-1.802	-1.775	-1.748	-1.722
-1.695	-1.669	-1.642	-1.615	-1.589	-1.562	-1.535	-1.508	-1.481	-1.455
-1.428	-1.401	-1.374	-1.347	-1.320	-1.293	-1.266	-1.239	-1.212	-1.185
-1.158	-1.131	-1.103	-1.076	-1.049	-1.022	-0.995	-0.967	-0.940	-0.913

-0.885	-0.858	-0.831	-0.803	-0.776	-0.748	-0.721	-0.694	-0.666	-0.639
-0.611	-0.583	-0.556	-0.528	-0.501	-0.473	-0.445	-0.418	-0.390	-0.362
-0.334	-0.307	-0.279	-0.251	-0.223	-0.195	-0.168	-0.140	-0.112	-0.084
-0.056	-0.028	0.000	0.028	0.056	0.084	0.112	0.140	0.168	0.196
0.224	0.253	0.281	0.309	0.337	0.365	0.394	0.422	0.450	0.478

0.507	0.535	0.563	0.592	0.620	0.648	0.677	0.705	0.734	0.762
0.791	0.819	0.848	0.876	0.905	0.933	0.962	0.990	1.019	1.048
1.076	1.105	1.134	1.162	1.191	1.220	1.248	1.277	1.306	1.335
1.363	1.392	1.421	1.450	1.479	1.507	1.536	1.565	1.594	1.623
1.652	1.681	1.710	1.739	1.768	1.797	1.826	1.855	1.884	1.913

1.942	1.971	2.000	2.029	2.058	2.088	2.117	2.146	2.175	2.204
2.233	2.263	2.292	2.321	2.350	2.380	2.409	2.438	2.467	2.497
2.526	2.555	2.585	2.614	2.644	2.673	2.702	2.732	2.761	2.791
2.820	2.849	2.879	2.908	2.938	2.967	2.997	3.026	3.056	3.085
3.115	3.145	3.174	3.204	3.233	3.263	3.293	3.322	3.352	3.381

3.411	3.441	3.470	3.500	3.530	3.560	3.589	3.619	3.649	3.678
3.708	3.738	3.768	3.798	3.827	3.857	3.887	3.917	3.947	3.976
4.006	4.036	4.066	4.096	4.126	4.156	4.186	4.216	4.245	4.275
4.305	4.335	4.365	4.395	4.425	4.455	4.485	4.515	4.545	4.575
4.605	4.635	4.665	4.695	4.725	4.755	4.786	4.816	4.846	4.876

4.906	4.936	4.966	4.996	5.026	5.057	5.087	5.117	5.147	5.177
5.207	5.238	5.268	5.298	5.328	5.358	5.389	5.419	5.449	5.479
5.509	5.540	5.570	5.600	5.630	5.661	5.691	5.721	5.752	5.782
5.812	5.843	5.873	5.903	5.934	5.964	5.994	6.025	6.055	6.085
6.116	6.146	6.176	6.207	6.237	6.268	6.298	6.328	6.359	6.389

6.420	6.450	6.481	6.511	6.541	6.572	6.602	6.633	6.663	6.694
6.724	6.755	6.785	6.816	6.846	6.877	6.907	6.938	6.968	6.999
7.029	7.060	7.090	7.121	7.151	7.182	7.212	7.243	7.274	7.304
7.335	7.365	7.396	7.426	7.457	7.488	7.518	7.549	7.579	7.610
